,Anger,Happiness,Fear,Sadness,NG_score,Neutral_Dummy,Interaction_anger_Neutral,Interaction_fear_Neutral,Interaction_happiness_Neutral,Interaction_sadness_Neutral,Number_Outgroup_Words_log,Number_Ingroup_Words_log,Interaction_Outgroup_anger,Interaction_Ingroup_anger,Interaction_Outgroup_fear,Interaction_Outgroup_happiness,id,Party_retweeted_author,author_id_new,Follower_count,RT_count,text
0,0.4170574999999999,0.044651844,0.2191992999999999,0.068000965,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511432944795242496,Republican,2976606250,14712,3,"Today, I led 52 of my colleagues on a letter to @POTUS urging him to reverse his decision to suspend Title 42 because it will drive an unprecedented surge of illegal migrants to the border at a time when Border Patrol is already understaffed and overworked.https://t.co/QXvdoWW7zN"
1,0.49706593,0.030887745,0.31862187,0.10739469,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436339236731555840,Republican,211530910,43411,1,⁦⁦@POTUS⁩’s weak leadership will haunt America for decades. Check out my latest op-ed on ⁦@FoxNews⁩.com. #FoxNews  https://t.co/fCTC8SK5KQ
2,0.40346947,0.24155597,0.06451988,0.039339166,92.5,1.0,0.40346947,0.06451988,0.24155597,0.039339166,1.0986122886681096,1.0986122886681096,0.44325651784440917,0.44325651784440917,0.07088233303139178,0.2653763570431452,1217084905429008384,Republican,18166778,3799661,1,"Despite Dems and the mainstream press attacking the President, truth and facts win in the end.\n\nThat’s why every House Republican opposed this impeachment sham AND:\n\n-One Dem voted no\n-One Dem voted present\n-One Dem voted no and switched parties\n\nhttps://t.co/927FQ6G3k4"
3,0.12224312,0.080206454,0.070157826,0.058118645,92.5,1.0,0.12224312,0.070157826,0.080206454,0.058118645,1.3862943611198906,0.0,0.1694649479417021,0.0,0.09725939857223045,0.11118975490562188,1201988457716948992,Republican,976969338,24008,1,.@clevelanddotcom: @senrobportman @SenSherrodBrown @RepBillJohnson @WarrenDavidson @RepBalderson &amp; Dave Joyce have filmed @facebook videos for @thepartnership’s #StopOpioidSilence campaign...intended to encourage people to speak out about the drug crisis. https://t.co/GCE8Imy7cY
4,0.63777554,0.024432104,0.15917565,0.05667055,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158842579775086592,Republican,1209417007,598509,5,"People should not be personally targeted for their political views. Period. This isn’t a game. It’s dangerous, and lives are at stake. I know this firsthand. https://t.co/PbxUMIOhae"
5,0.057037186,0.5135522,0.1169370999999999,0.050282437,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034496246998859776,Republican,1209417007,598510,2,"#BetterOffNow ➡️ “Consumer confidence in the United States soared in August to an 18-year high and hit seldom-reached peaks, reflecting surging growth in the economy and the lowest unemployment rate in almost two decades.” \n\nhttps://t.co/nOGi41gBZU"
6,0.064831115,0.743127,0.038347114,0.030533696,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979395468571660288,Republican,1209417007,598510,5,Great news → @McDonalds is expanding tuition benefits for its employees because of tax reform.\nhttps://t.co/G4Wjsmv1Nt
7,0.065801874,0.120291755,0.5878302,0.11663199,100.0,1.0,0.065801874,0.5878302,0.120291755,0.11663199,0.0,0.0,0.0,0.0,0.0,0.0,940289649876054016,Republican,19739126,2325041,1,✅ Unemployment rate at 17-year low\n✅ 1.7 million jobs added since January\nhttps://t.co/NYTfiv3EcQ
8,0.12365828,0.04272501,0.29766423,0.10881539,100.0,1.0,0.12365828,0.29766423,0.04272501,0.10881539,0.0,0.0,0.0,0.0,0.0,0.0,504288863213596672,Republican,15394954,38900,1,.@nationwidekids letter to @dispatchalerts re: need to expedite #Path2Cures &amp; my efforts w @ECCures &amp; @repbilljohnson http://t.co/MGNxI5kSbg
9,0.08731733,0.09329424,0.052555013,0.045434736,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503970081177870336,Republican,15394954,38900,1,ICYMI: Check out my op-ed w @RepBillJohnson in @clevelanddotcom about how we are working to accelerate #Path2Cures: http://t.co/h9mYePsfND
10,0.13856006,0.13719179,0.18017139,0.037352234,92.5,1.0,0.13856006,0.18017139,0.13719179,0.037352234,0.0,0.0,0.0,0.0,0.0,0.0,421377559540936704,Republican,240427862,32965,1,@RepMcKinley and @RepBillJohnson are teaming up to fight flood insurance rate hikes affecting thousands of residents. http://t.co/MozT2LnEZz
11,0.047327783,0.7458174999999999,0.079650134,0.030116796,92.5,1.0,0.047327783,0.079650134,0.7458174999999999,0.030116796,0.0,0.6931471805599453,0.0,0.03280511934860291,0.0,0.0,413332177669984256,Democrat,84119348,27471,1,Ystrdy legislation I intro'd w @RepBillJohnson passed the Senate &amp; was sent to the @WhiteHouse for passage into law. http://t.co/RSF7EEly19
12,0.65633357,0.05447548,0.13098523,0.048687886,85.0,1.0,0.65633357,0.13098523,0.05447548,0.048687886,1.6094379124341003,0.0,1.0563281307612205,0.0,0.2108125951309005,0.08767490281004559,342272344653430784,Republican,19739126,2325049,3,RT if you agree it's time for @SenatorReid &amp; @SenateDems to put the Keystone pipeline up for a vote: http://t.co/X8hrcU9MnL
13,0.3761894,0.08159805,0.18883966,0.040437024,85.0,1.0,0.3761894,0.18883966,0.08159805,0.040437024,0.0,0.0,0.0,0.0,0.0,0.0,306890559577001984,Republican,29766367,15864,1,"CEO of @SUBWAY on #SmallBiz environment ""If I Started Subway Today, Subway Would Not Exist"" #tcot http://t.co/RKsZDTQsbU"
14,0.04064913,0.34131813,0.53716964,0.032883987,100.0,1.0,0.04064913,0.53716964,0.34131813,0.032883987,0.0,0.0,0.0,0.0,0.0,0.0,301767110634397696,Republican,976969338,24008,1,Currently presiding over the House for the first time. Check it out on http://t.co/AAQI7QSp
15,0.07236941,0.62983286,0.042150132,0.030048741,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619190739927465984,Republican,15394954,38900,1,"Thanks to shale development, the US is on track to see its most productive year for crude #oil in 45 yrs http://t.co/44AYkV3MME #Yes2Energy"
16,0.2594777,0.030665904,0.11351862,0.24879564,69.5,1.0,0.2594777,0.11351862,0.030665904,0.24879564,0.0,0.0,0.0,0.0,0.0,0.0,1382412965551411200,Republican,219429281,568555,2,"A shortsighted decision and a grave mistake. Here's why protecting stability in Afghanistan helps protect American security, and why I believe this moment is more important than politics: https://t.co/lHHKoMzGyq"
17,0.47858232,0.038392507,0.21060283,0.11365688,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260706388348506112,Republican,2963445730,76971,1,The Chinese misinformation efforts are designed to: \n\n➡️Save face with their own people\n➡️Distract the world from their lack of transparency \n➡️Drive a wedge between the U.S. &amp; our allies\n\nIt is part of their scheme to become the next world power. https://t.co/R3YUiiYacY
18,0.68074006,0.029685022,0.12049646,0.054135777,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193930822371426304,Republican,98471035,589410,1,".⁦@SecPompeo⁩ must ensure any ⁦@RTErdogan⁩ thugs who attacked American protestors during Erdogan’s last visit are denied entry into the US, &amp; expel any who are here. \n\nWe will not tolerate violence against peaceful protestors. \n\n#ThisisAmerica  https://t.co/iiVHl2zRlg"
19,0.046753913,0.04012205,0.03946802,0.26981673,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996060711976566784,Republican,1209417007,598510,8,"Hard to believe it’s been almost a year since the attack on the Congressional Baseball Game practice. As we honor #PoliceWeek2018, I’m constantly reminded that my colleagues &amp; I owe our lives to the bravery of officers who risked their lives to save ours\nhttps://t.co/syujRRHZJI"
20,0.58578897,0.0355272,0.2290679,0.07993671,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931265774425165824,Republican,19394188,2805398,1,Vladimir Putin’s complicity in Assad’s crimes against humanity is nothing new. This veto is only the latest confirmation.\nhttps://t.co/EylmDCA9Lu
21,0.08915669,0.48473337,0.028519075,0.10011989,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895631039816540160,Republican,19394188,2805398,1,"Great to see the USS John S McCain aka ""Big Bad John"" conducting freedom of navigation operation in South China Sea https://t.co/UshE0cMhqh"
22,0.10234612,0.04327819,0.25892124,0.4455278,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827927027684610048,Republican,19394188,2805398,1,"Must-read @WSJ: ""A Poisoning in #Moscow"" https://t.co/FuwPrCLXZX"
23,0.34104195,0.08456852,0.13875866,0.07148678,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750345768846909440,Republican,1209417007,598510,3,What a #BetterWay would accomplish:\n👍 1.7 million new jobs\n👍 9.1% economic growth\n👍 7.7% wage rate growth\nhttps://t.co/uqaSt5yE31
24,0.68591315,0.04662894,0.109345965,0.08933248,100.0,1.0,0.68591315,0.109345965,0.04662894,0.08933248,0.0,0.0,0.0,0.0,0.0,0.0,676891485275574272,Republican,19394188,2805398,1,"You can't make it up... ""Kerry: #Russia a 'significant contributor' to progress in #Syria"" https://t.co/6RQBt2ImBu"
25,0.3824588,0.062220972,0.22815368,0.10750385,95.0,1.0,0.3824588,0.22815368,0.062220972,0.10750385,1.0986122886681096,0.6931471805599453,0.42017393758925875,0.26510023890034,0.25065243655285147,0.06835672445207436,496380608420265984,Republican,211588974,46479,1,#Germany cancels major arms deal w/ #Russia – France &amp; other NATO allies shld follow suit @MarkWarner @RepKinzinger http://t.co/7Dq9AgaJ3W
26,0.68527806,0.048264302,0.14693643,0.08082403,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332909188781064192,Republican,19739126,2325049,1,"ABC reports Administration edited talking pts re: #Benghazi attack 12 times, scrubbing all references to terrorism: http://t.co/01R8uKoSx1"
27,0.80837035,0.03777156,0.06762442,0.045682456,100.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0.8880856003049408,0.0,0.07429301882605349,0.04149629997816482,1614043238830116864,Democrat,995193054,34010,1,Let’s be clear: The IRS is not raising an “army of 87K agents.”\n\nRepublicans are fearmongering &amp; peddling disinformation to protect wealthy tax cheats. Everyone should be paying their fair share.\nhttps://t.co/JbTDlwPpo8
28,0.078645416,0.03596635,0.7853386,0.057689004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613703871880171520,Republican,2963445730,76971,2,A Chinese police station operating in Brooklyn was uncovered today. The threat of these outposts goes beyond intelligence gathering and extends to tracking and harassing dissidents abroad. \n\nhttps://t.co/DefZYJKeD8
29,0.5790443,0.03212698,0.26084676,0.06605808,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604919030820864000,Democrat,16160352,787127,2,"This would all have been exposed before the election if local newspapers were not running on fumes. For most of my career in politics, local journalists would have uncovered this during the campaign…not after votes had been cast. This is a big problem.  https://t.co/tyrU5EjLjK"
30,0.03800092,0.035669003,0.16396342,0.0658166,100.0,1.0,0.03800092,0.16396342,0.035669003,0.0658166,0.0,0.0,0.0,0.0,0.0,0.0,1605308600078897152,Democrat,231510077,275839,1,"San Antonio: please stay safe as temperatures drop, and remember to bring your pets inside.\n\nStarting Thursday at 3 pm, seven warming centers will open for those in need.\n\nFind your closest center and learn more about shuttle and pet options below. 👇\nhttps://t.co/j6lIc8FZWp"
31,0.24723968,0.03217261,0.6086711,0.063096955,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584969747263033344,Democrat,163570705,50184,1,One study “estimated that breaching the ceiling could wipe out $15 trillion in wealth and cost as many as 6 million jobs.”\n \nThe GOP is openly admitting if they come to power they will risk economic calamity to cut your Social Security &amp; Medicare benefits.\nhttps://t.co/cQs52Ey75f
